,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
3743,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI,5220243.0,b3S,I,2.0,SARANDI,RS,09/2017,Não,Sim,Sim,34.418,NI,01/2017,S5,
3744,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PIRACANJUBA LTDA,5222094.0,b3S,I,2.0,PIRACANJUBA,GO,09/2017,Não,Sim,Sim,31.980,NI,01/2017,S5,
3745,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE IVAIPORA - CRESOL IVAIPORA,5231945.0,b3S,I,2.0,IVAIPORA,PR,09/2017,Não,Sim,Sim,72.821,NI,01/2017,S5,
3746,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GETULIO VARGAS-CRESOL GETÚLIO VARGAS,5241145.0,b3S,I,2.0,GETULIO VARGAS,RS,09/2017,Não,Sim,Sim,51.783,NI,01/2017,S5,
3747,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT,5241619.0,b3S,I,2.0,PRIMAVERA DO LESTE,MT,09/2017,Não,Sim,Sim,127.025,NI,01/2017,S5,
3748,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO ARAGUAIA - SICOOB ARAGUAIA,5244177.0,b3S,I,2.0,BARRA DO GARCAS,MT,09/2017,Não,Sim,Sim,21.241,NI,01/2017,S5,
3749,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA REGIAO SUL DE MATO GROSSO - SICOOB SUL,5247312.0,b3S,I,2.0,RONDONOPOLIS,MT,09/2017,Não,Sim,Sim,68.786,NI,01/2017,S5,
3750,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE FORMOSA DO SUL-CRESOL FORMOSA,5269976.0,b3S,I,2.0,FORMOSA DO SUL,SC,09/2017,Não,Sim,Sim,34.053,NI,01/2017,S5,
3751,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SANTA IZABEL DO OESTE - CRESOL SANTA IZABEL DO OESTE,5276770.0,b3S,I,2.0,SANTA IZABEL DO OESTE,PR,09/2017,Não,Sim,Sim,75.120,NI,01/2017,S5,
3752,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA SUL PARANAENSE - CRESOL SUL PARANAENSE,5277312.0,b3S,I,2.0,CRUZ MACHADO,PR,09/2017,Não,Sim,Sim,91.501,NI,01/2017,S5,
3753,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED,5292849.0,b3S,I,2.0,GUARULHOS,SP,09/2017,Não,Sim,Sim,3.389,NI,01/2017,S5,
3754,COOPERASA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONARIOS DAS EMPRESAS DA AGUIA PARTICIPAÇÕES,5296712.0,b3S,I,2.0,PONTA GROSSA,PR,09/2017,Não,Sim,Sim,NI,NI,01/2017,S5,
3755,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA LESTE PARANAENSE - CRESOL LESTE PARANAENSE,5326643.0,b3S,I,2.0,CERRO AZUL,PR,09/2017,Não,Sim,Sim,40.531,NI,01/2017,S5,
3756,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA GKN DO BRASIL LTDA,5331882.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,2.536,NI,01/2017,S5,
3757,COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL,5392810.0,b3S,I,2.0,TOLEDO,PR,09/2017,Não,Sim,Sim,386.431,NI,01/2017,S5,
3758,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GUARACIABA-CRESOL GUARACIABA,5400634.0,b3S,I,2.0,GUARACIABA,SC,09/2017,Não,Sim,Sim,23.722,NI,01/2017,S5,
3759,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE JAGUARUNA-CRESOL JAGUARUNA,5410056.0,b3S,I,2.0,JAGUARUNA,SC,09/2017,Não,Sim,Sim,37.663,NI,01/2017,S5,
3760,COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS PROFESSORES ESTADUAIS DA REGIÃO METROPOLITANA DE PORTO ALEGRE - EDUCREDI,5419025.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,1.113,NI,01/2017,S5,
3761,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS NAS INDUSTRIAS QUIMICAS, FARMACEUTICAS E SIMILARES DA REGIAO METROPOLITANA DO RIO DE JANEIRO LTDA",5424088.0,b3S,I,2.0,SAO GONCALO,RJ,09/2017,Não,Sim,Sim,1.172,NI,01/2017,S5,
3762,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONCORDIA- CRESOL CONCÓRDIA,5425526.0,b3S,I,2.0,CONCORDIA,SC,09/2017,Não,Sim,Sim,43.717,NI,01/2017,S5,
3763,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE IPUMIRIM - CRESOL IPUMIRIM,5427501.0,b3S,I,2.0,IPUMIRIM,SC,09/2017,Não,Sim,Sim,21.429,NI,01/2017,S5,
3764,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS,5428587.0,b3S,I,2.0,OLIVEIRA DOS BREJINHOS,BA,09/2017,Não,Sim,Sim,1.734,NI,01/2017,S5,
3765,COOPERATIVA DE CRÉDITO RURAL DE RIO BRANCO LTDA.,5439425.0,b3S,I,2.0,RIO BRANCO,AC,09/2017,Não,Sim,Sim,75.245,NI,01/2017,S5,
3766,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PORTO XAVIER-CRESOL PORTO XAVIER,5442759.0,b3S,I,2.0,PORTO XAVIER,RS,09/2017,Não,Sim,Sim,27.067,NI,01/2017,S5,
3767,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL DE PORTO ALEGRE,5460750.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,8.641,NI,01/2017,S5,
3768,COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER,5463934.0,b3S,I,2.0,VOTUPORANGA,SP,09/2017,Não,Sim,Sim,39.099,NI,01/2017,S5,
3769,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MAGISTRADOS E SERVIDORES DO PODER JUDICIÁRIO E ÓRGÃOS JURÍDICOS ESTADUAIS E FEDERAIS NA GRANDE TERESINA - SICOOB JURISCRED/PI,5477038.0,b3S,I,2.0,TERESINA,PI,09/2017,Não,Sim,Sim,22.962,NI,01/2017,S5,
3770,COOPERATIVA DE CRÉDITO RURAL E SERVIDORES PÚBLICOS DE MINEIROS GOIÁS,5491616.0,b3S,I,2.0,MINEIROS,GO,09/2017,Não,Sim,Sim,2.976,NI,01/2017,S5,
3771,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ALFREDO WAGNER - CRESOL ALFREDO WAGNER,5494591.0,b3S,I,2.0,ALFREDO WAGNER,SC,09/2017,Não,Sim,Sim,33.950,NI,01/2017,S5,
3772,"SICREDI COOMAMP - COOPERATIVA DE CRÉDITO DOS MEMBROS DE INSTITUIÇÕES PÚBLICAS DAS CARREIRAS JURÍDICAS E DOS SERVIDORES PÚBLICOS FEDERAIS, ESTADUAIS E MUNICIPAIS EM SÃO LUÍS/MA E MUNICÍPIOS CIRCUNVIZIN",5545390.0,b3S,I,2.0,SAO LUIS,MA,09/2017,Não,Sim,Sim,28.499,NI,01/2017,S5,
3773,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO JAL LTDA.,5548335.0,b3S,I,2.0,SAO JOAO DE MERITI,RJ,09/2017,Não,Sim,Sim,20.694,NI,01/2017,S5,
3774,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MANAUS   SICOOB MANAUS,5580585.0,b3S,I,2.0,MANAUS,AM,09/2017,Não,Sim,Sim,25.222,NI,01/2017,S5,
3775,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ,5582619.0,b3S,I,2.0,LONDRINA,PR,09/2017,Não,Sim,Sim,726.609,NI,01/2017,S5,
3776,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SERVIDORES PÚBLICOS ATIVOS, INATIVOS E PENSIONISTAS DA ADMINISTRAÇÃO DIRETA, INDIRETA E ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE SUL - COOPSERGS",5591437.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,6.155,NI,01/2017,S5,
3777,COOPERATIVA DE CRÉDITO RURAL DE NOVA BRASILÂNDIA D'OESTE LTDA.,5597773.0,b3S,I,2.0,NOVA BRASILANDIA,RO,09/2017,Não,Sim,Sim,27.669,NI,01/2017,S5,
3778,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DO SUDESTE PAULISTA LTDA. - SICOOB UNIMAIS SUDESTE PAULISTA,5608957.0,b3S,I,2.0,SOROCABA,SP,09/2017,Não,Sim,Sim,85.784,NI,01/2017,S5,
3779,COOPERATIVA DE CRÉDITO RURAL NORTE DO ITAPICURU,5644916.0,b3S,I,2.0,JAGUARARI,BA,09/2017,Não,Sim,Sim,1.214,NI,01/2017,S5,
3780,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO SEBRAE BAHIA - COOPSOL,5658367.0,b3S,I,2.0,SALVADOR,BA,09/2017,Não,Sim,Sim,1.603,NI,01/2017,S5,
3781,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE LENÇÓIS PAULISTA - COOPERSERV,5667301.0,b3S,I,2.0,LENCOIS PAULISTA,SP,09/2017,Não,Sim,Sim,19.402,NI,01/2017,S5,
3782,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DO MINISTÉRIO DA SAÚDE EM MACEIÓ - SAUDECRED,5728016.0,b3S,I,2.0,MACEIO,AL,09/2017,Não,Sim,Sim,3.583,NI,01/2017,S5,
3783,COOPERATIVA DE CRÉDITO DOS METALÚRGICOS DO ABC - CREDABC,5740092.0,b3S,I,2.0,SAO BERNARDO DO CAMPO,SP,09/2017,Não,Sim,Sim,5.042,NI,01/2017,S5,
3784,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ITATIBA DO SUL - CRESOL ITATIBA DO SUL,5745533.0,b3S,I,2.0,ITATIBA DO SUL,RS,09/2017,Não,Sim,Sim,18.414,NI,01/2017,S5,
3785,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE DEFESA SOCIAL DO ESTADO DE MINAS GERAIS LTDA. - COOPSESP,5746715.0,b3S,I,2.0,BELO HORIZONTE,MG,09/2017,Não,Sim,Sim,6.753,NI,01/2017,S5,
3786,"COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E COND EDIFÍCIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS) - CREDFISP LTDA.",5747018.0,b3S,I,2.0,CAMPINA GRANDE,PB,09/2017,Não,Sim,Sim,2.244,NI,01/2017,S5,
3787,COOPERATIVA DE CRÉDITO DO NOROESTE DO PARANÁ - SICOOB NOROESTE DO PARANÁ,5772229.0,b3S,I,2.0,PARANAVAI,PR,09/2017,Não,Sim,Sim,202.563,NI,01/2017,S5,
3788,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO ESPÍRITO SANTO LTDA. - CECOOPES,5790149.0,b3C,I,2.0,VITORIA,ES,09/2017,Não,Sim,Sim,1.508,NI,01/2017,S5,
3789,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,5841967.0,b3S,I,2.0,SAPIRANGA,RS,09/2017,Não,Sim,Sim,6.428,NI,01/2017,S5,
3790,COOPERATIVA DE CRÉDITO RURAL DOS PRODUTORES DA REGIÃO DE IRECÊ - CREDIRURAL,5853210.0,b3S,I,2.0,IRECE,BA,09/2017,Não,Sim,Sim,791,NI,01/2017,S5,
3791,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DO DISTRITO FEDERAL LTDA - SICOOB EMPRESARIAL",5856736.0,b3S,I,2.0,BRASILIA,DF,09/2017,Não,Sim,Sim,169.343,NI,01/2017,S5,
3792,COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA,5861932.0,b3S,I,2.0,FLORIANOPOLIS,SC,09/2017,Não,Sim,Sim,203.904,NI,01/2017,S5,
3793,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL  PLANALTO SERRA,5863726.0,b3S,I,2.0,SANANDUVA,RS,09/2017,Não,Sim,Sim,190.166,NI,01/2017,S5,
3794,COOPERATIVA CENTRAL DE CREDITO RURAL HORIZONTES NOVOS - CREHNOR CENTRAL,5879577.0,b3C,I,2.0,SARANDI,RS,09/2017,Não,Sim,Sim,NI,NI,01/2017,S5,
3795,COOPERATIVA DE CRÉDITO SUL - SICOOB SUL,5888589.0,b3S,I,2.0,CURITIBA,PR,09/2017,Não,Sim,Sim,518.507,NI,01/2017,S5,
3796,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE BEBEDOURO - COOCRESB.,5969937.0,b3S,I,2.0,BEBEDOURO,SP,09/2017,Não,Sim,Sim,3.469,NI,01/2017,S5,
3797,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DO CREA DOS ESTADOS DE SANTA CATARINA E PARANÁ - CREDCREA,5979692.0,b3S,I,2.0,FLORIANOPOLIS,SC,09/2017,Não,Sim,Sim,247.470,NI,01/2017,S5,
3798,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE HUMAITÁ - CRESOL HUMAITÁ,5983995.0,b3S,I,2.0,HUMAITA,RS,09/2017,Não,Sim,Sim,42.429,NI,01/2017,S5,
3799,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTO CRISTO - CRESOL SANTO CRISTO,6031727.0,b3S,I,2.0,SANTO CRISTO,RS,09/2017,Não,Sim,Sim,87.926,NI,01/2017,S5,
3800,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA RICLAN,6077760.0,b3S,I,2.0,RIO CLARO,SP,09/2017,Não,Sim,Sim,5.778,NI,01/2017,S5,
3801,"COOPERATIVA DE CRÉDITO MÚTUO DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR.",6078926.0,b3S,I,2.0,CURITIBA,PR,09/2017,Não,Sim,Sim,39.220,NI,01/2017,S5,
3802,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CÂNDIDO DE ABREU - CRESOL CÂNDIDO DE ABREU,6100881.0,b3S,I,2.0,CANDIDO DE ABREU,PR,09/2017,Não,Sim,Sim,62.112,NI,01/2017,S5,
3803,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PRUDENTÓPOLIS - CRESOL PRUDENTÓPOLIS,6126780.0,b3S,I,2.0,PRUDENTOPOLIS,PR,09/2017,Não,Sim,Sim,32.810,NI,01/2017,S5,
3804,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBIRAIARAS - CRESOL NORDESTE,6139650.0,b3S,I,2.0,IBIRAIARAS,RS,09/2017,Não,Sim,Sim,40.192,NI,01/2017,S5,
3805,COOPERATIVA DE CRÉDITO SICOOB ALIANÇA,6174009.0,b3S,I,2.0,APUCARANA,PR,09/2017,Não,Sim,Sim,226.206,NI,01/2017,S5,
3806,"COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DO NORTE DE MINAS LTDA - SICOOB CREDINOSSO",6324872.0,b3S,I,2.0,MONTES CLAROS,MG,09/2017,Não,Sim,Sim,21.350,NI,01/2017,S5,
3807,"COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS DO PAPEL, PAPELÃO E CORTIÇA DE OTACÍLIO COSTA, LAGES E CORREA PINTO - PAPELCREDI",6369729.0,b3S,I,2.0,OTACILIO COSTA,SC,09/2017,Não,Sim,Sim,1.763,NI,01/2017,S5,
3808,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,6910457.0,b3S,I,2.0,SANTA CRUZ DAS PALMEIRAS,SP,09/2017,Não,Sim,Sim,105.997,NI,01/2017,S5,
3809,COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SISTEMA FINANCEIRO DE CURITIBA E REGIÃO - COOPCREFI,6942423.0,b3S,I,2.0,CURITIBA,PR,09/2017,Não,Sim,Sim,1.451,NI,01/2017,S5,
3810,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DA REGIÃO METROPOLITANA DE PORTO ALEGRE - COOPESA",6975532.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,1.746,NI,01/2017,S5,
3811,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ARAPONGA - CRESOL ARAPONGA,7016503.0,b3S,I,2.0,ARAPONGA,MG,09/2017,Não,Sim,Sim,12.002,NI,01/2017,S5,
3812,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE UMUARAMA - SICOOB ARENITO,7026923.0,b3S,I,2.0,UMUARAMA,PR,09/2017,Não,Sim,Sim,144.641,NI,01/2017,S5,
3813,COOPERATIVA DE CRÉDITO MÚTUO DOS PRAÇAS E OFICIAIS DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO - COOPERACS- SP,7030145.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,5.451,NI,01/2017,S5,
3814,"COOPERATIVA DE CRÉDITO MÚTUO DOS COMERCIANTES DE VEÍCULOS, PEÇAS E ACESSÓRIOS PARA VEÍCULOS DE CURITIBA E REGIÃO - SICREDI SINCOCRED PR",7070495.0,b3S,I,2.0,CURITIBA,PR,09/2017,Não,Sim,Sim,38.916,NI,01/2017,S5,
3815,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MARECHAL CÂNDIDO RONDON E REGIÃO - SICOOB MARECHAL,7097064.0,b3S,I,2.0,MARECHAL CANDIDO RONDON,PR,09/2017,Não,Sim,Sim,73.148,NI,01/2017,S5,
3816,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,7108146.0,b3S,I,2.0,CRIXAS,GO,09/2017,Não,Sim,Sim,30.128,NI,01/2017,S5,
3817,COOPERATIVA DE CRÉDITO DO IGUAÇU INTEGRADO - SICOOB INTEGRADO,7122321.0,b3S,I,2.0,PATO BRANCO,PR,09/2017,Não,Sim,Sim,212.835,NI,01/2017,S5,
3818,COOPERATIVA DE CRÉDITO HORIZONTE - SICOOB HORIZONTE,7194313.0,b3S,I,2.0,ARAPONGAS,PR,09/2017,Não,Sim,Sim,75.357,NI,01/2017,S5,
3819,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP",7206072.0,b3S,I,2.0,ARAPOTI,PR,09/2017,Não,Sim,Sim,341.213,NI,01/2017,S5,
3820,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DE TOMBOS-CRESOL TOMBOS,7208637.0,b3S,I,2.0,TOMBOS,MG,09/2017,Não,Sim,Sim,40.933,NI,01/2017,S5,
3821,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE APIÚNA - CRESOL APIÚNA,7215632.0,b3S,I,2.0,APIUNA,SC,09/2017,Não,Sim,Sim,24.229,NI,01/2017,S5,
3822,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PAIM FILHO - CRESOL PAIM FILHO,7252614.0,b3S,I,2.0,PAIM FILHO,RS,09/2017,Não,Sim,Sim,41.069,NI,01/2017,S5,
3823,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTA LÚCIA - CRESOL SANTA LÚCIA,7268499.0,b3S,I,2.0,SANTA LUCIA,PR,09/2017,Não,Sim,Sim,52.206,NI,01/2017,S5,
3824,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO MÉDIO OESTE - SICOOB MÉDIO OESTE,7318874.0,b3S,I,2.0,ASSIS CHATEAUBRIAND,PR,09/2017,Não,Sim,Sim,80.926,NI,01/2017,S5,
3825,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE VITOR MEIRELES - CRESOL VITOR MEIRELES,7320890.0,b3S,I,2.0,VITOR MEIRELES,SC,09/2017,Não,Sim,Sim,71.398,NI,01/2017,S5,
3826,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PINHALZINHO - CRESOL PINHALZINHO,7412987.0,b3S,I,2.0,PINHALZINHO,SC,09/2017,Não,Sim,Sim,36.213,NI,01/2017,S5,
3827,COOPERATIVA DE CRÉDITO DOS MEDICOS E DEMAIS PROFISSIONAIS DE NIVEL SUPERIOR DA AREA DE SAUDE DE SALVADOR E REGIAO METROPOLITANA LTDA - SICOOB CREDMED,7440317.0,b3S,I,2.0,SALVADOR,BA,09/2017,Não,Sim,Sim,34.979,NI,01/2017,S5,
3828,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE WITMARSUM - CRESOL WITMARSUM,7465539.0,b3S,I,2.0,WITMARSUM,SC,09/2017,Não,Sim,Sim,41.339,NI,01/2017,S5,
3829,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS INDUSTRIAIS VINCULADOS À FIEMG LTDA - SICOOB CREDIFIEMG,7469260.0,b3S,I,2.0,BELO HORIZONTE,MG,09/2017,Não,Sim,Sim,126.242,NI,01/2017,S5,
3830,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO NOROESTE CAPIXABA   CRESOL NOROESTE CAPIXABA,7475376.0,b3S,I,2.0,COLATINA,ES,09/2017,Não,Sim,Sim,47.305,NI,01/2017,S5,
3831,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA ÁREA DE SAÚDE, AFINS E EMPRESÁRIOS VINCULADOS À ACCI DE ERECHIM-RS-CREDISUL",7494300.0,b3S,I,2.0,ERECHIM,RS,09/2017,Não,Sim,Sim,15.832,NI,01/2017,S5,
3832,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO OESTE GOIANO LTDA.,7502031.0,b3S,I,2.0,GOIANESIA,GO,09/2017,Não,Sim,Sim,84.077,NI,01/2017,S5,
3833,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ITUPORANGA - CRESOL ITUPORANGA,7507647.0,b3S,I,2.0,ITUPORANGA,SC,09/2017,Não,Sim,Sim,53.902,NI,01/2017,S5,
3834,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE XANXERÊ - CRESOL XANXERÊ,7509426.0,b3S,I,2.0,XANXERE,SC,09/2017,Não,Sim,Sim,24.870,NI,01/2017,S5,
3835,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁGUAS MORNAS - CRESOL ÁGUAS MORNAS,7512780.0,b3S,I,2.0,AGUAS MORNAS,SC,09/2017,Não,Sim,Sim,131.728,NI,01/2017,S5,
3836,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO - CRESOL SÃO JOÃO,7557462.0,b3S,I,2.0,SAO JOAO,PR,09/2017,Não,Sim,Sim,33.218,NI,01/2017,S5,
3837,COOPERATIVA DE CRÉDITO RURAL DO SERTÃO ALAGOANO ASCOOB COCREAL,7564184.0,b3S,I,2.0,PAO DE ACUCAR,AL,09/2017,Não,Sim,Sim,1.884,NI,01/2017,S5,
3838,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA. - SECOVICRED,7599206.0,b3S,I,2.0,GOIANIA,GO,09/2017,Não,Sim,Sim,253.382,NI,01/2017,S5,
3839,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS DO PODER JUDICIÁRIO DA CAPITAL DO ESTADO DE SÃO PAULO - JUDCRED,7651495.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,3.204,NI,01/2017,S5,
3840,COOPERATIVA DE CRÉDITO MÚTUO DOS MICROS E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DE SÃO CARLOS - SICOOB CREDIACISC,7669921.0,b3S,I,2.0,SAO CARLOS,SP,09/2017,Não,Sim,Sim,14.982,NI,01/2017,S5,
3841,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA NOTARIAL E REGISTRAL - COOPNORE,7714057.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,102.887,NI,01/2017,S5,
3842,COOPERATIVA DE CRÉDITO MÚTUO DOS DISTRIBUIDORES DE BEBIDAS DO ESTADO DE SÃO PAULO - SICOOB CREDIBESP,7753938.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,648,NI,01/2017,S5,
3843,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS ADVOGADOS DO ESTADO DO RIO DE JANEIRO LTDA.,7755335.0,b3S,I,2.0,RIO DE JANEIRO,RJ,09/2017,Não,Sim,Sim,5.717,NI,01/2017,S5,
3844,"COOPERATIVA DE CRÉDITO MÚTUO DOS TRANSPORTADORES RODOVIÁRIOS DE VEÍCULOS DO ABCD, MAÚA, RIBEIRÃO PIRES E VALE DO PARAÍBA - SICOOB CREDCEG",7789195.0,b3S,I,2.0,SAO BERNARDO DO CAMPO,SP,09/2017,Não,Sim,Sim,219.390,NI,01/2017,S5,
